id,name,activity_type,distance,elevation_gain,elevation_low,elevation_high,best_time,average_top_10_time,tenth_best_time,total_effort_count,total_athlete_count
26969785,Croisé Ch Morange cambourg - croisé ste Marguerite,Run,1801.3,21.9,261.1,283.0,399,426.4,475.0,557.0,108.0
28634019,Part 1 Clm,Ride,4986.4,66.6,83.7,145.4,351,415.6,428.0,16935.0,3245.0
27009759,Anse des Cascades - Montée,Ride,1382.8,138.2,29.4,115.2,1349,1216.9,1123.0,963.0,710.0
17021388,Montée Boeuf mort,Run,2570.3,191.5,41.0,228.0,672,726.1,760.0,2851.0,423.0
17455828,Alcide départ sentier,Run,4396.0,0.0,571.0,1352.0,2219,2358.22,,4292.0,2110.0
20462127,2eme bosse,Run,1299.0,222.4,63.2,277.2,650,686.9,718.0,5332.0,1376.0
4591570,Canalisation des Orangers Climb,Run,928.9,156.8,466.0,600.7,274,380.0,427.0,6426.0,3183.0
21829496,Bellevue - Roche Écrite,Run,9945.0,1716.0,626.0,2287.0,6852,7425.3,8206.0,84.0,63.0
25624889,Poteau parc national - bambou,Run,1287.8,216.6,352.8,569.4,566,631.6,660.0,1080.0,400.0
23092647,Chemin Azalées - 1er Kiosque,Run,5614.0,386.8,292.0,669.8,1775,2138.7,2283.0,165.0,27.0
15797075,Montée Ruisseau Blanc => Maison Forestière,Run,1347.8,184.4,397.6,582.0,557,570.7,597.0,18025.0,9198.0
17239001,Sprint: Eglise - Diamant 8 ,Ride,582.0,29.6,31.6,61.2,74,82.0,91.0,926.0,270.0
23271080,Montée Chemin de la Salette,Ride,602.4,33.1,97.1,130.2,66,83.7,93.0,824.0,237.0
22315373,Montée Allée Jacquot,Ride,2470.7,83.3,20.0,103.3,302,366.7,388.0,799.0,215.0
17100714,Montée D32 - D3 - Les Lianes,Ride,10782.0,512.6,135.4,628.2,1501,1543.7,1692.0,3199.0,855.0
17857098,Descente vtt chinless,Ride,2767.4,0.0,447.8,666.0,196,203.9,210.0,4426.0,1070.0
9305424,Chemin Bassin Martin part.,Ride,1249.6,65.2,97.2,162.4,174,193.4,205.0,1528.0,400.0
14453844,raviné sèche tamarin / snack bar,Ride,2931.7,180.0,125.6,305.6,483,498.8,513.0,4109.0,826.0
7096722,Montée du cimetière des Avirons,Ride,2722.2,205.4,20.8,226.2,501,561.8,589.0,1961.0,829.0
20588633,Montée cuisine centrale aie!,Ride,308.0,41.2,269.6,310.8,62,62.67,,1046.0,518.0
19078915,Inters les sables rond point floralys ,Ride,5698.1,18.3,4.6,16.9,405,413.9,417.0,74907.0,6178.0
18113909,Montée Pente d'orange ,Ride,866.0,46.0,364.4,410.4,76,92.2,107.0,11315.0,2035.0
21898469,Chemin avant Monté les Makes .,Ride,1923.9,46.4,315.6,348.4,212,228.3,236.0,5291.0,1248.0
5138562,Sentier de la Rivière des Remparts Roche Plate Climb,Ride,1553.7,105.0,352.1,455.6,413,474.9,496.0,273.0,134.0
21502083,montée cascade grand galet,Ride,490.9,71.0,427.0,498.0,108,150.3,179.0,440.0,227.0
5138563,Sentier de la Rivière des Remparts Roche Plate Climb,Ride,835.1,183.2,996.6,1173.9,254,310.2,363.0,93.0,48.0
14139776,Traverse,Ride,5465.6,0.0,1076.6,1640.8,1067,1462.6,1688.0,226.0,117.0
38693606,Sortie ND de la Paix,Ride,1404.7,70.4,1674.6,1736.6,185,220.4,235.0,1179.0,584.0
19242204,Fin ravine citrons ,Ride,515.2,54.8,610.6,665.4,88,111.5,128.0,4433.0,1016.0
10714531,PAVILLON/PETER BOTH,Ride,5982.3,484.0,406.0,890.0,1109,1161.7,1210.0,14829.0,4480.0
17756580,2 ème tunnel - 3 ème tunnel ,Ride,1452.0,118.2,948.0,1066.2,225,241.8,255.0,13473.0,4170.0
2629047,Rue De Cilaos Climb,Ride,1551.7,92.4,238.2,330.6,212,227.1,232.0,15235.0,4457.0
16861823,Montee Jules Ferry,Ride,1407.7,160.2,615.2,775.4,317,368.3,399.0,2343.0,1111.0
17466202,DH sortie tunnel -> Ravine de Cilaos,Ride,8155.0,0.0,441.4,1096.6,704,737.4,758.0,9996.0,3495.0
6031941,D 20 Climb,Ride,1128.5,103.2,1237.5,1324.0,104,160.1,193.0,1967.0,992.0
11765577,19° - Bourg Murat,Ride,6251.3,361.0,1157.6,1518.6,981,1118.0,1180.0,3879.0,1350.0
22639380,horloge direction 23 éme ,Ride,3848.4,15.0,1304.8,1350.4,319,342.3,357.0,2270.0,680.0
13466645,volcan-track,Ride,2166.0,36.7,1662.4,1681.1,185,212.2,230.0,1407.0,112.0
7122588,"Grande ferme, vers volcan",Ride,1206.7,55.8,1524.0,1579.8,188,223.6,246.0,276.0,108.0
27263288,Sainte Rose 2021 BAS ,Ride,1337.0,0.0,70.6,229.6,138,150.5,159.0,360.0,89.0
20767425,nouvelle montée xc st rose 2019,Ride,1664.8,48.7,10.0,52.5,287,319.1,356.0,128.0,24.0
29104086,Descente Radier coté Bois Blanc,Ride,4293.9,0.0,131.0,432.4,355,375.8,391.0,434.0,224.0
18031783,Descente Montée Panon,Ride,5446.9,4.6,9.6,348.6,365,376.1,382.0,14993.0,2715.0
26612942,Lacet sentier Ravine Tabac,Ride,3482.0,197.2,96.2,285.0,656,941.8,1246.0,117.0,62.0
3141063,Rue Jean Albany Ex Rue Law Wai Climb,Ride,1889.21,84.423,422.3,506.7,232,253.0,276.0,13828.0,2434.0
13125353,CD12 Kelonia-Int CD13,Ride,8055.7,497.6,12.6,510.2,1204,1344.0,1439.0,5641.0,1702.0
