run_segment_id,run_segment_name,ride_segment_id,ride_segment_name,coverage_ratio,points_on_road,total_run_points,tolerance_meters,is_match
28154656,Cambuston - Stade Eaux Vives,39378154,Unknown,0.0,0,1071,50,False
28154656,Cambuston - Stade Eaux Vives,27367138,Unknown,0.0,0,1071,50,False
28154656,Cambuston - Stade Eaux Vives,12259839,Unknown,0.0,0,1071,50,False
23272624,Montée Camille Roche,2510025,Unknown,0.0,0,146,50,False
19834495,Cote gravier Antenne,34424313,Unknown,0.0,0,42,50,False
19834495,Cote gravier Antenne,18964434,Unknown,0.0,0,42,50,False
19834495,Cote gravier Antenne,27782129,Unknown,0.0,0,42,50,False
14375815,400m,34424313,Unknown,0.0,0,98,50,False
21708101,Montée Chemin Bergerie,25381639,Unknown,0.0,0,1705,50,False
21708101,Montée Chemin Bergerie,17258588,Unknown,0.0,0,1705,50,False
21708101,Montée Chemin Bergerie,25381746,Unknown,0.0,0,1705,50,False
21708101,Montée Chemin Bergerie,22942840,Unknown,0.0,0,1705,50,False
23497135,Hermann-De Gaulle-N3,21895534,Unknown,0.0,0,88,50,False
18127175,ch canal depuis ch niobe jusqua ch savign,23260162,Unknown,0.0,0,1185,50,False
18127175,ch canal depuis ch niobe jusqua ch savign,17820688,Unknown,0.0,0,1185,50,False
18127175,ch canal depuis ch niobe jusqua ch savign,10004724,Unknown,0.0,0,1185,50,False
26392181,R.p P.F jusqu'àu littoral,23649215,Unknown,0.0,0,234,50,False
7210015,Intervall. kort,27782129,Unknown,0.0,0,66,50,False
7210015,Intervall. kort,19078915,Unknown,0.0,0,66,50,False
16871224,rue pierre cadet,34424313,Unknown,0.0,0,17,50,False
16871224,rue pierre cadet,19455779,Unknown,0.0,0,17,50,False
16871224,rue pierre cadet,16141737,Unknown,0.0,0,17,50,False
16871224,rue pierre cadet,25935494,Unknown,0.0,0,17,50,False
16871224,rue pierre cadet,2611948,Unknown,0.0,0,17,50,False
16871224,rue pierre cadet,22872332,Unknown,0.0,0,17,50,False
16871224,rue pierre cadet,17439405,Unknown,0.0,0,17,50,False
23272624,Montée Camille Roche,34424313,Unknown,0.0,0,146,50,False
23272624,Montée Camille Roche,24200402,Unknown,0.0,0,146,50,False
23272624,Montée Camille Roche,19455779,Unknown,0.0,0,146,50,False
23272624,Montée Camille Roche,16141737,Unknown,0.0,0,146,50,False
23272624,Montée Camille Roche,25935494,Unknown,0.0,0,146,50,False
23272624,Montée Camille Roche,22872332,Unknown,0.0,0,146,50,False
29203799,Chemin Géranium,16171868,Unknown,0.0,0,390,50,False
23283997,Chemin des Dalihas,16576319,Unknown,0.0,0,274,50,False
27904814,Rue General Bonnier,23736830,Unknown,0.0,0,149,50,False
22336698,Chemin commune Ango,28961473,Unknown,0.0,0,971,50,False
22336698,Chemin commune Ango,23036125,Unknown,0.0,0,971,50,False
22336698,Chemin commune Ango,6877856,Unknown,0.0,0,971,50,False
22336698,Chemin commune Ango,4426387,Unknown,0.0,0,971,50,False
22336698,Chemin commune Ango,7101288,Unknown,0.0,0,971,50,False
22336698,Chemin commune Ango,23271374,Unknown,0.0,0,971,50,False
26392181,R.p P.F jusqu'àu littoral,22755736,Unknown,0.0,0,234,50,False
26392181,R.p P.F jusqu'àu littoral,3933459,Unknown,0.0,0,234,50,False
32488273,Montée cannes BDN 1,9013601,Unknown,0.0,0,125,50,False
32488273,Montée cannes BDN 1,25935494,Unknown,0.0,0,125,50,False
32488273,Montée cannes BDN 1,3638753,Unknown,0.0,0,125,50,False
23199275,Escalier savane,31113591,Unknown,0.0,0,8,50,False
23199275,Escalier savane,34424313,Unknown,0.0,0,8,50,False
23199275,Escalier savane,19455779,Unknown,0.0,0,8,50,False
23199275,Escalier savane,24483388,Unknown,0.0,0,8,50,False
23199275,Escalier savane,11262084,Unknown,0.0,0,8,50,False
23199275,Escalier savane,25032020,Unknown,0.0,0,8,50,False
23199275,Escalier savane,16141737,Unknown,0.0,0,8,50,False
23199275,Escalier savane,26252974,Unknown,0.0,0,8,50,False
23199275,Escalier savane,7130069,Unknown,0.0,0,8,50,False
23199275,Escalier savane,25057376,Unknown,0.0,0,8,50,False
23199275,Escalier savane,15122400,Unknown,0.0,0,8,50,False
23199275,Escalier savane,9013601,Unknown,0.0,0,8,50,False
23199275,Escalier savane,25935494,Unknown,0.0,0,8,50,False
32488322,Chemin béton vers savane,25032020,Unknown,0.0,0,133,50,False
32488322,Chemin béton vers savane,16141737,Unknown,0.0,0,133,50,False
32488322,Chemin béton vers savane,15195369,Unknown,0.0,0,133,50,False
32488322,Chemin béton vers savane,25057376,Unknown,0.0,0,133,50,False
32488322,Chemin béton vers savane,18965451,Unknown,0.0,0,133,50,False
32488322,Chemin béton vers savane,15122400,Unknown,0.0,0,133,50,False
32488322,Chemin béton vers savane,9013601,Unknown,0.0,0,133,50,False
32488322,Chemin béton vers savane,25935494,Unknown,0.0,0,133,50,False
32488273,Montée cannes BDN 1,34424313,Unknown,0.0,0,125,50,False
32488273,Montée cannes BDN 1,24200402,Unknown,0.0,0,125,50,False
32488273,Montée cannes BDN 1,19455779,Unknown,0.0,0,125,50,False
32488273,Montée cannes BDN 1,25032020,Unknown,0.0,0,125,50,False
32488273,Montée cannes BDN 1,18359860,Unknown,0.0,0,125,50,False
32488273,Montée cannes BDN 1,16141737,Unknown,0.0,0,125,50,False
32488273,Montée cannes BDN 1,15195369,Unknown,0.0,0,125,50,False
32488273,Montée cannes BDN 1,25057376,Unknown,0.0,0,125,50,False
33329157,downhill chemin dugue,22639380,Unknown,0.0,0,294,50,False
19948587,CHEMIN DU GUE,21030026,Unknown,0.0,0,451,50,False
19948587,CHEMIN DU GUE,22639380,Unknown,0.0,0,451,50,False
19948587,CHEMIN DU GUE,11765577,Unknown,0.0,0,451,50,False
24358616,Petit tour piton la croix ,34424313,Unknown,0.0,0,338,50,False
8435505,D3 + Parc a mouton climb,34424313,Unknown,0.0,0,1392,50,False
8435505,D3 + Parc a mouton climb,21899973,Unknown,0.0,0,1392,50,False
8435505,D3 + Parc a mouton climb,23966993,Unknown,0.0,0,1392,50,False
28453405,Trail Team Choka ,34424313,Unknown,0.0,0,11906,50,False
28453405,Trail Team Choka ,34632831,Unknown,0.0,0,11906,50,False
28453405,Trail Team Choka ,36069980,Unknown,0.0,0,11906,50,False
28453405,Trail Team Choka ,23966993,Unknown,0.0,0,11906,50,False
28453405,Trail Team Choka ,3406292,Unknown,0.0,0,11906,50,False
32488322,Chemin béton vers savane,34424313,Unknown,0.0,0,133,50,False
32488322,Chemin béton vers savane,19455779,Unknown,0.0,0,133,50,False
32488322,Chemin béton vers savane,19516734,Unknown,0.0,0,133,50,False
23065739,Piton Dugain cote 1,2279296,Unknown,0.0,0,129,50,False
23065739,Piton Dugain cote 1,16262941,Unknown,0.0,0,129,50,False
33329154,climb chemin dugue,21030026,Unknown,0.0,0,517,50,False
33329154,climb chemin dugue,22639380,Unknown,0.0,0,517,50,False
26392181,R.p P.F jusqu'àu littoral,17803523,Unknown,0.0,0,234,50,False
10980205,Colorado -> La Fenêtre,26790127,Unknown,0.0,0,153,50,False
10980205,Colorado -> La Fenêtre,6307489,Unknown,0.0,0,153,50,False
20215641,Haut premiere montee descente ravine,19137610,Unknown,0.0,0,121,50,False
20215641,Haut premiere montee descente ravine,6675446,Unknown,0.0,0,121,50,False
20215641,Haut premiere montee descente ravine,6307489,Unknown,0.0,0,121,50,False
33329154,climb chemin dugue,11765577,Unknown,0.0,0,517,50,False
33329157,downhill chemin dugue,21030026,Unknown,0.0,0,294,50,False
16513923,Trail U STLeu 2018,17316590,Unknown,0.0,0,4528,50,False
20347026,traversée base navale,12477514,Unknown,0.0,0,365,50,False
9435708,"5,5 km",21795226,Unknown,0.0,0,286,50,False
9435708,"5,5 km",31010558,Unknown,0.0,0,286,50,False
9435708,"5,5 km",21789695,Unknown,0.0,0,286,50,False
9435708,"5,5 km",4905002,Unknown,0.0,0,286,50,False
9435708,"5,5 km",20300854,Unknown,0.0,0,286,50,False
11023289,Climb Route des tamarins par Ruelle des Attes,16141737,Unknown,0.0,0,54,50,False
16513923,Trail U STLeu 2018,24200402,Unknown,0.0,0,4528,50,False
16513923,Trail U STLeu 2018,24483388,Unknown,0.0,0,4528,50,False
16513923,Trail U STLeu 2018,19516734,Unknown,0.0,0,4528,50,False
26361055,Caposs challenge 2020,31010558,Unknown,0.0,0,1682,50,False
26361055,Caposs challenge 2020,4905002,Unknown,0.0,0,1682,50,False
16513923,Trail U STLeu 2018,21977568,Unknown,0.0,0,4528,50,False
16513923,Trail U STLeu 2018,7130177,Unknown,0.0,0,4528,50,False
33768002,Montée d25 mazeau Léocadie par Renault,19455779,Unknown,0.0,0,481,50,False
33768002,Montée d25 mazeau Léocadie par Renault,25032020,Unknown,0.0,0,481,50,False
33768002,Montée d25 mazeau Léocadie par Renault,16141737,Unknown,0.0,0,481,50,False
33768002,Montée d25 mazeau Léocadie par Renault,25057376,Unknown,0.0,0,481,50,False
33768002,Montée d25 mazeau Léocadie par Renault,9013601,Unknown,0.0,0,481,50,False
33768002,Montée d25 mazeau Léocadie par Renault,25935494,Unknown,0.0,0,481,50,False
19922180,Climb D13->Tourterelles,34424313,Unknown,0.0,0,86,50,False
19922180,Climb D13->Tourterelles,16141737,Unknown,0.0,0,86,50,False
26361055,Caposs challenge 2020,20300854,Unknown,0.0,0,1682,50,False
17421391,Escape Le Port,32608148,Unknown,0.0,0,63,50,False
17421391,Escape Le Port,4905002,Unknown,0.0,0,63,50,False
29684277,chemin camion vers N2002 Jo,13438819,Unknown,0.0,0,190,50,False
29684277,chemin camion vers N2002 Jo,23026462,Unknown,0.0,0,190,50,False
23497808,Chemin de Ma Pensée - Chemin Ducroisy par champs de cannes,23026481,Unknown,0.0,0,300,50,False
19922180,Climb D13->Tourterelles,20426741,Unknown,0.0,0,86,50,False
5671400,RF6 Climb,34424313,Unknown,0.0,0,782,50,False
40248962,DH Papaye,34424313,Unknown,0.0,0,366,50,False
40248962,DH Papaye,24200402,Unknown,0.0,0,366,50,False
40248962,DH Papaye,16141737,Unknown,0.0,0,366,50,False
40248962,DH Papaye,22903469,Unknown,0.0,0,366,50,False
32941335,"Final climb camélias ,trail de l etang",34424313,Unknown,0.0,0,232,50,False
32941335,"Final climb camélias ,trail de l etang",24200402,Unknown,0.0,0,232,50,False
23497808,Chemin de Ma Pensée - Chemin Ducroisy par champs de cannes,19482561,Unknown,0.0,0,300,50,False
23497808,Chemin de Ma Pensée - Chemin Ducroisy par champs de cannes,13438819,Unknown,0.0,0,300,50,False
23497808,Chemin de Ma Pensée - Chemin Ducroisy par champs de cannes,13316979,Unknown,0.0,0,300,50,False
27513050,sentier concassage 2,19482561,Unknown,0.0,0,671,50,False
27172950,Chemin Ma Pensée à Chemin Rivière du Mat,19482561,Unknown,0.0,0,278,50,False
32941335,"Final climb camélias ,trail de l etang",16141737,Unknown,0.0,0,232,50,False
32941335,"Final climb camélias ,trail de l etang",20426741,Unknown,0.0,0,232,50,False
33768002,Montée d25 mazeau Léocadie par Renault,34424313,Unknown,0.0,0,481,50,False
33768002,Montée d25 mazeau Léocadie par Renault,24200402,Unknown,0.0,0,481,50,False
21977770,100d+from fond'ravine Bras-Mouton,34424313,Unknown,0.0,0,109,50,False
21977770,100d+from fond'ravine Bras-Mouton,16993265,Unknown,0.0,0,109,50,False
21977770,100d+from fond'ravine Bras-Mouton,16141737,Unknown,0.0,0,109,50,False
29611950,Croisement GR-Argamasse,2279296,Unknown,0.0,0,563,50,False
29611950,Croisement GR-Argamasse,28138082,Unknown,0.0,0,563,50,False
39274730,Descente Piton Desforges,16262941,Unknown,0.0,0,228,50,False
39274686,Montée Piton Desforges,16262941,Unknown,0.0,0,326,50,False
4591579,Lotissement les Topazes Climb,2279296,Unknown,0.0,0,131,50,False
2862903,Route Forestière 11 Des Makes Climb,22875419,Unknown,0.0,0,130,50,False
27302873,Foret des makes <- -> Grand Bénare ,34424313,Unknown,0.0,0,16462,50,False
5961899,Sentier des Tamarins Climb,34424313,Unknown,0.0,0,285,50,False
5961899,Sentier des Tamarins Climb,24383862,Unknown,0.0,0,285,50,False
28414976,AR 120d+,34424313,Unknown,0.0,0,328,50,False
22382942,Trou d eau / ST leu ( Aller /retour ) ,4591680,Unknown,0.0,0,1566,50,False
22382942,Trou d eau / ST leu ( Aller /retour ) ,3119459,Unknown,0.0,0,1566,50,False
28101100,sortie de plage ,34424313,Unknown,0.0,0,10,50,False
28101100,sortie de plage ,27183677,Unknown,0.0,0,10,50,False
28101100,sortie de plage ,17444339,Unknown,0.0,0,10,50,False
28101100,sortie de plage ,17191072,Unknown,0.0,0,10,50,False
28101100,sortie de plage ,17191041,Unknown,0.0,0,10,50,False
28101100,sortie de plage ,16141737,Unknown,0.0,0,10,50,False
28101100,sortie de plage ,26796711,Unknown,0.0,0,10,50,False
28101100,sortie de plage ,23479282,Unknown,0.0,0,10,50,False
28101100,sortie de plage ,19911208,Unknown,0.0,0,10,50,False
28101100,sortie de plage ,16341868,Unknown,0.0,0,10,50,False
20704012,DH Piste cyclable,9078410,Unknown,0.0,0,283,50,False
23735706,Montée boucle cheval,9078410,Unknown,0.0,0,102,50,False
23735706,Montée boucle cheval,17680439,Unknown,0.0,0,102,50,False
23735706,Montée boucle cheval,18475184,Unknown,0.0,0,102,50,False
21967226,Parcours santé aller short,12035407,Unknown,0.0,0,52,50,False
38981334,descente Piveteau court,6290350,Unknown,0.0,0,467,50,False
